,event_name,show_red,show_green,show_yellow,show_living_room,show_bathroom,show_kitchen,show_attention_question,answer_attention_question,show_binding_trials,stop_binding_trials,show_difficulty_question,answer_difficulty_question,show_object_in_test_trial,start_retrieval_time,answer_on_retrieval_time,show_retrieval_question,answer_retrieval_question,show_colors_answers,answer_color_question,show_scenes_answers,answer_scene_question,stage,trial_num,fl_trial_index,fl_feature,fl_word_question,fl_user_answer,fl_is_right,fl_feature_appear,bl_block,bl_object,bl_binding_trial,bl_binding_trial_in_block,bl_colors,bl_scenes,bl_difficulty,bl_binding_object_appear,tp_block,tp_object,tp_binding_trial,tp_colors,tp_scenes,tp_difficulty,tp_test_trial,tp_subject_color,tp_subject_scene,tp_color_correct,tp_scene_correct,tp_both_correct,tp_color_rt_ms,tp_scene_rt_ms,tp_first_question,tp_test_object_appear
0,show_yellow,,,0.0,,,,,,,,,,,,,,,,,,,fl,0,0,yellow,red,left,True,2026-04-12_13-05-37.108,,,,,,,,,,,,,,,,,,,,,,,,
1,show_attention_question,,,,,,,0.0,,,,,,,,,,,,,,,fl,0,0,yellow,red,left,True,2026-04-12_13-05-37.108,,,,,,,,,,,,,,,,,,,,,,,,
2,answer_attention_question,,,,,,,,0.0,,,,,,,,,,,,,,fl,0,0,yellow,red,left,True,2026-04-12_13-05-37.108,,,,,,,,,,,,,,,,,,,,,,,,
3,show_yellow,,,0.0,,,,,,,,,,,,,,,,,,,fl,1,1,yellow,yellow,right,True,2026-04-12_13-05-45.587,,,,,,,,,,,,,,,,,,,,,,,,
4,show_attention_question,,,,,,,0.0,,,,,,,,,,,,,,,fl,1,1,yellow,yellow,right,True,2026-04-12_13-05-45.587,,,,,,,,,,,,,,,,,,,,,,,,
5,answer_attention_question,,,,,,,,0.0,,,,,,,,,,,,,,fl,1,1,yellow,yellow,right,True,2026-04-12_13-05-45.587,,,,,,,,,,,,,,,,,,,,,,,,
6,show_bathroom,,,,,0.0,,,,,,,,,,,,,,,,,fl,2,2,bathroom,bathroom,right,True,2026-04-12_13-05-53.131,,,,,,,,,,,,,,,,,,,,,,,,
7,show_attention_question,,,,,,,0.0,,,,,,,,,,,,,,,fl,2,2,bathroom,bathroom,right,True,2026-04-12_13-05-53.131,,,,,,,,,,,,,,,,,,,,,,,,
8,answer_attention_question,,,,,,,,0.0,,,,,,,,,,,,,,fl,2,2,bathroom,bathroom,right,True,2026-04-12_13-05-53.131,,,,,,,,,,,,,,,,,,,,,,,,
9,show_bathroom,,,,,0.0,,,,,,,,,,,,,,,,,fl,3,3,bathroom,bathroom,right,True,2026-04-12_13-06-00.913,,,,,,,,,,,,,,,,,,,,,,,,
10,show_attention_question,,,,,,,0.0,,,,,,,,,,,,,,,fl,3,3,bathroom,bathroom,right,True,2026-04-12_13-06-00.913,,,,,,,,,,,,,,,,,,,,,,,,
11,answer_attention_question,,,,,,,,0.0,,,,,,,,,,,,,,fl,3,3,bathroom,bathroom,right,True,2026-04-12_13-06-00.913,,,,,,,,,,,,,,,,,,,,,,,,
