subject,block,object,binding_trial,binding_trial_in_block,colors,scenes,difficulty,test_trial,subject_color,subject_scene,color_correct,scene_correct,both_correct,color_rt_ms,scene_rt_ms,first_question,color_question_order,scene_question_order,binding_object_appear,binding_feature_disappear,binding_difficulty_question_appear,binding_difficulty_answer_time,test_object_appear,test_object_disappear,test_colors_question_appear,test_colors_answer_time,test_scenes_question_appear,test_scenes_answer_time
101,0,bulb,1,0,red,living_room,1,trial_5,red,living_room,True,True,True,,,colors,1,2,2026-03-14_18-47-35.646,2026-03-14_18-47-38.659,2026-03-14_18-47-39.999,2026-03-14_18-47-41.635,2026-03-14_18-51-31.521,2026-03-14_18-51-34.534,2026-03-14_18-51-37.551,2026-03-14_18-51-38.189,2026-03-14_18-51-40.204,2026-03-14_18-51-41.255
101,0,brush,2,1,yellow,living_room,2,trial_4,yellow,kitchen,True,False,False,,,colors,1,2,2026-03-14_18-47-45.895,2026-03-14_18-47-48.908,2026-03-14_18-47-49.992,2026-03-14_18-47-51.281,2026-03-14_18-51-20.225,2026-03-14_18-51-23.239,2026-03-14_18-51-26.256,2026-03-14_18-51-26.955,2026-03-14_18-51-28.970,2026-03-14_18-51-29.495
101,0,paper,3,2,green,bathroom,2,trial_1,green,kitchen,True,False,False,,,scenes,2,1,2026-03-14_18-47-55.274,2026-03-14_18-47-58.287,2026-03-14_18-47-59.785,2026-03-14_18-48-00.767,2026-03-14_18-50-44.011,2026-03-14_18-50-47.024,2026-03-14_18-50-53.241,2026-03-14_18-50-54.064,2026-03-14_18-50-50.043,2026-03-14_18-50-51.226
101,0,man,4,3,green,bathroom,3,trial_6,green,bathroom,True,True,True,,,colors,1,2,2026-03-14_18-48-04.830,2026-03-14_18-48-07.843,2026-03-14_18-48-09.159,2026-03-14_18-48-10.615,2026-03-14_18-51-43.282,2026-03-14_18-51-46.294,2026-03-14_18-51-49.313,2026-03-14_18-51-49.780,2026-03-14_18-51-51.795,2026-03-14_18-51-52.618
101,0,sock,5,4,yellow,kitchen,5,trial_3,yellow,kitchen,True,True,True,,,colors,1,2,2026-03-14_18-48-14.989,2026-03-14_18-48-18.002,2026-03-14_18-48-19.737,2026-03-14_18-48-21.130,2026-03-14_18-51-08.391,2026-03-14_18-51-11.404,2026-03-14_18-51-14.421,2026-03-14_18-51-15.207,2026-03-14_18-51-17.222,2026-03-14_18-51-18.200
101,0,gloves,6,5,yellow,living_room,4,trial_2,yellow,living_room,True,True,True,,,scenes,2,1,2026-03-14_18-48-24.481,2026-03-14_18-48-27.494,2026-03-14_18-48-28.705,2026-03-14_18-48-30.158,2026-03-14_18-50-56.084,2026-03-14_18-50-59.097,2026-03-14_18-51-05.428,2026-03-14_18-51-06.366,2026-03-14_18-51-02.114,2026-03-14_18-51-03.412
101,0,mog,7,6,red,kitchen,4,trial_7,green,kitchen,False,True,False,,,colors,1,2,2026-03-14_18-48-34.385,2026-03-14_18-48-37.398,2026-03-14_18-48-38.507,2026-03-14_18-48-40.873,2026-03-14_18-51-54.643,2026-03-14_18-51-57.657,2026-03-14_18-52-00.674,2026-03-14_18-52-01.976,2026-03-14_18-52-03.993,2026-03-14_18-52-06.525
101,0,chair,8,7,red,kitchen,2,trial_8,red,kitchen,True,True,True,,,colors,1,2,2026-03-14_18-48-45.252,2026-03-14_18-48-48.265,2026-03-14_18-48-50.188,2026-03-14_18-48-50.630,2026-03-14_18-52-08.552,2026-03-14_18-52-11.565,2026-03-14_18-52-14.582,2026-03-14_18-52-15.440,2026-03-14_18-52-17.455,2026-03-14_18-52-18.698
101,0,tie,9,8,green,bathroom,4,trial_9,green,bathroom,True,True,True,,,scenes,2,1,2026-03-14_18-48-54.014,2026-03-14_18-48-57.027,2026-03-14_18-48-58.443,2026-03-14_18-48-59.942,2026-03-14_18-52-20.719,2026-03-14_18-52-23.732,2026-03-14_18-52-29.856,2026-03-14_18-52-30.328,2026-03-14_18-52-26.750,2026-03-14_18-52-27.841
101,1,glasses,10,0,green,living_room,1,trial_12,yellow,living_room,False,True,False,,,scenes,2,1,2026-03-14_18-52-39.948,2026-03-14_18-52-42.961,2026-03-14_18-52-44.433,2026-03-14_18-52-45.328,2026-03-14_18-56-14.621,2026-03-14_18-56-17.634,2026-03-14_18-56-24.367,2026-03-14_18-56-25.571,2026-03-14_18-56-20.651,2026-03-14_18-56-22.351
101,1,cat,11,1,yellow,bathroom,2,trial_14,red,bathroom,False,True,False,,,colors,1,2,2026-03-14_18-52-49.385,2026-03-14_18-52-52.398,2026-03-14_18-52-53.914,2026-03-14_18-52-55.040,2026-03-14_18-56-39.695,2026-03-14_18-56-42.708,2026-03-14_18-56-45.725,2026-03-14_18-56-46.821,2026-03-14_18-56-48.837,2026-03-14_18-56-49.846
101,1,game,12,2,red,living_room,2,trial_18,red,living_room,True,True,True,,,scenes,2,1,2026-03-14_18-52-58.232,2026-03-14_18-53-01.245,2026-03-14_18-53-02.358,2026-03-14_18-53-03.417,2026-03-14_18-57-28.759,2026-03-14_18-57-31.772,2026-03-14_18-57-38.187,2026-03-14_18-57-39.828,2026-03-14_18-57-34.789,2026-03-14_18-57-36.170
101,1,key,13,3,green,kitchen,3,trial_17,green,kitchen,True,True,True,,,scenes,2,1,2026-03-14_18-53-07.689,2026-03-14_18-53-10.702,2026-03-14_18-53-12.169,2026-03-14_18-53-13.197,2026-03-14_18-57-16.196,2026-03-14_18-57-19.211,2026-03-14_18-57-25.420,2026-03-14_18-57-26.737,2026-03-14_18-57-22.228,2026-03-14_18-57-23.404
101,1,lego,14,4,red,kitchen,5,trial_10,red,living_room,True,False,False,,,colors,1,2,2026-03-14_18-53-17.693,2026-03-14_18-53-20.707,2026-03-14_18-53-22.583,2026-03-14_18-53-23.650,2026-03-14_18-55-48.946,2026-03-14_18-55-51.959,2026-03-14_18-55-54.977,2026-03-14_18-55-58.263,2026-03-14_18-56-00.280,2026-03-14_18-56-01.074
101,1,dustpan,15,5,red,bathroom,4,trial_11,red,bathroom,True,True,True,,,scenes,2,1,2026-03-14_18-53-27.428,2026-03-14_18-53-30.441,2026-03-14_18-53-31.505,2026-03-14_18-53-33.251,2026-03-14_18-56-03.100,2026-03-14_18-56-06.113,2026-03-14_18-56-11.821,2026-03-14_18-56-12.601,2026-03-14_18-56-09.129,2026-03-14_18-56-09.806
101,1,fan,16,6,yellow,bathroom,4,trial_13,yellow,kitchen,True,False,False,,,colors,1,2,2026-03-14_18-53-37.337,2026-03-14_18-53-40.351,2026-03-14_18-53-42.228,2026-03-14_18-53-43.506,2026-03-14_18-56-27.598,2026-03-14_18-56-30.611,2026-03-14_18-56-33.628,2026-03-14_18-56-34.819,2026-03-14_18-56-36.835,2026-03-14_18-56-37.670
101,1,flower pot,17,7,yellow,living_room,2,trial_15,yellow,living_room,True,True,True,,,scenes,2,1,2026-03-14_18-53-47.481,2026-03-14_18-53-50.494,2026-03-14_18-53-51.770,2026-03-14_18-53-53.151,2026-03-14_18-56-51.873,2026-03-14_18-56-54.886,2026-03-14_18-57-01.212,2026-03-14_18-57-02.040,2026-03-14_18-56-57.903,2026-03-14_18-56-59.195
101,1,sweeper,18,8,green,kitchen,4,trial_16,green,kitchen,True,True,True,,,scenes,2,1,2026-03-14_18-53-57.310,2026-03-14_18-54-00.324,2026-03-14_18-54-02.023,2026-03-14_18-54-03.908,2026-03-14_18-57-04.065,2026-03-14_18-57-07.079,2026-03-14_18-57-13.302,2026-03-14_18-57-14.169,2026-03-14_18-57-10.095,2026-03-14_18-57-11.287
101,2,build a bear,19,0,red,kitchen,1,trial_20,red,kitchen,True,True,True,,,colors,1,2,2026-03-14_18-57-50.655,2026-03-14_18-57-53.668,2026-03-14_18-57-54.776,2026-03-14_18-57-56.352,2026-03-14_19-01-17.461,2026-03-14_19-01-20.474,2026-03-14_19-01-23.490,2026-03-14_19-01-24.115,2026-03-14_19-01-26.130,2026-03-14_19-01-26.932
101,2,dog,20,1,yellow,bathroom,2,trial_25,green,kitchen,False,False,False,,,scenes,2,1,2026-03-14_18-58-00.740,2026-03-14_18-58-03.753,2026-03-14_18-58-04.982,2026-03-14_18-58-07.287,2026-03-14_19-02-17.976,2026-03-14_19-02-20.989,2026-03-14_19-02-28.093,2026-03-14_19-02-28.666,2026-03-14_19-02-24.005,2026-03-14_19-02-26.076
101,2,candle,21,2,red,living_room,2,trial_27,red,living_room,True,True,True,,,scenes,2,1,2026-03-14_18-58-11.323,2026-03-14_18-58-14.336,2026-03-14_18-58-16.147,2026-03-14_18-58-17.083,2026-03-14_19-02-43.636,2026-03-14_19-02-46.650,2026-03-14_19-02-52.459,2026-03-14_19-02-53.145,2026-03-14_19-02-49.667,2026-03-14_19-02-50.444
101,2,coat,22,3,green,living_room,3,trial_19,green,living_room,True,True,True,,,scenes,2,1,2026-03-14_18-58-20.562,2026-03-14_18-58-23.576,2026-03-14_18-58-25.002,2026-03-14_18-58-26.519,2026-03-14_19-01-04.958,2026-03-14_19-01-07.970,2026-03-14_19-01-13.931,2026-03-14_19-01-15.434,2026-03-14_19-01-10.989,2026-03-14_19-01-11.915
101,2,trash can,23,4,green,kitchen,5,trial_21,green,kitchen,True,True,True,,,scenes,2,1,2026-03-14_18-58-30.198,2026-03-14_18-58-33.211,2026-03-14_18-58-34.486,2026-03-14_18-58-35.230,2026-03-14_19-01-28.958,2026-03-14_19-01-31.971,2026-03-14_19-01-38.076,2026-03-14_19-01-38.759,2026-03-14_19-01-34.989,2026-03-14_19-01-36.061
101,2,apple,24,5,yellow,living_room,4,trial_24,yellow,living_room,True,True,True,,,colors,1,2,2026-03-14_18-58-39.566,2026-03-14_18-58-42.579,2026-03-14_18-58-44.518,2026-03-14_18-58-47.081,2026-03-14_19-02-05.308,2026-03-14_19-02-08.321,2026-03-14_19-02-11.338,2026-03-14_19-02-12.693,2026-03-14_19-02-14.710,2026-03-14_19-02-15.944
101,2,baby,25,6,red,bathroom,4,trial_23,red,bathroom,True,True,True,,,scenes,2,1,2026-03-14_18-58-50.888,2026-03-14_18-58-53.901,2026-03-14_18-58-55.787,2026-03-14_18-58-58.483,2026-03-14_19-01-52.726,2026-03-14_19-01-55.740,2026-03-14_19-02-02.302,2026-03-14_19-02-03.282,2026-03-14_19-01-58.756,2026-03-14_19-02-00.286
101,2,woman,26,7,yellow,kitchen,2,trial_22,yellow,kitchen,True,True,True,,,scenes,2,1,2026-03-14_18-59-02.896,2026-03-14_18-59-05.910,2026-03-14_18-59-06.934,2026-03-14_18-59-09.662,2026-03-14_19-01-40.785,2026-03-14_19-01-43.799,2026-03-14_19-01-49.721,2026-03-14_19-01-50.700,2026-03-14_19-01-46.815,2026-03-14_19-01-47.706
101,2,iphone,27,8,green,bathroom,4,trial_26,green,bathroom,True,True,True,,,scenes,2,1,2026-03-14_18-59-13.700,2026-03-14_18-59-16.713,2026-03-14_18-59-18.166,2026-03-14_18-59-19.435,2026-03-14_19-02-30.691,2026-03-14_19-02-33.704,2026-03-14_19-02-40.281,2026-03-14_19-02-41.608,2026-03-14_19-02-36.721,2026-03-14_19-02-38.264
101,3,wipes,28,0,yellow,kitchen,1,trial_28,yellow,kitchen,True,True,True,,,colors,1,2,2026-03-14_19-03-00.047,2026-03-14_19-03-03.060,2026-03-14_19-03-05.083,2026-03-14_19-03-06.283,2026-03-14_19-06-16.299,2026-03-14_19-06-19.311,2026-03-14_19-06-22.329,2026-03-14_19-06-23.060,2026-03-14_19-06-25.076,2026-03-14_19-06-26.233
101,3,shirt,29,1,yellow,bathroom,2,trial_34,yellow,bathroom,True,True,True,,,colors,1,2,2026-03-14_19-03-09.650,2026-03-14_19-03-12.663,2026-03-14_19-03-13.818,2026-03-14_19-03-16.238,2026-03-14_19-07-27.042,2026-03-14_19-07-30.055,2026-03-14_19-07-33.072,2026-03-14_19-07-33.940,2026-03-14_19-07-35.955,2026-03-14_19-07-36.968
101,3,closet,30,2,red,living_room,2,trial_32,red,living_room,True,True,True,,,scenes,2,1,2026-03-14_19-03-19.725,2026-03-14_19-03-22.738,2026-03-14_19-03-24.725,2026-03-14_19-03-25.905,2026-03-14_19-07-03.638,2026-03-14_19-07-06.651,2026-03-14_19-07-12.900,2026-03-14_19-07-13.559,2026-03-14_19-07-09.668,2026-03-14_19-07-10.885
101,3,sprey,31,3,red,living_room,3,trial_29,red,living_room,True,True,True,,,colors,1,2,2026-03-14_19-03-29.890,2026-03-14_19-03-32.904,2026-03-14_19-03-34.252,2026-03-14_19-03-36.675,2026-03-14_19-06-28.259,2026-03-14_19-06-31.273,2026-03-14_19-06-34.289,2026-03-14_19-06-35.252,2026-03-14_19-06-37.267,2026-03-14_19-06-37.965
101,3,towel,32,4,green,bathroom,5,trial_31,green,bathroom,True,True,True,,,scenes,2,1,2026-03-14_19-03-40.463,2026-03-14_19-03-43.476,2026-03-14_19-03-44.804,2026-03-14_19-03-46.046,2026-03-14_19-06-51.633,2026-03-14_19-06-54.646,2026-03-14_19-07-01.082,2026-03-14_19-07-01.612,2026-03-14_19-06-57.663,2026-03-14_19-06-59.066
101,3,bucket,33,5,red,kitchen,4,trial_36,red,kitchen,True,True,True,,,colors,1,2,2026-03-14_19-03-50.099,2026-03-14_19-03-53.113,2026-03-14_19-03-54.959,2026-03-14_19-03-56.345,2026-03-14_19-07-50.702,2026-03-14_19-07-53.715,2026-03-14_19-07-56.732,2026-03-14_19-07-57.681,2026-03-14_19-07-59.697,2026-03-14_19-08-00.380
101,3,ladder,34,6,yellow,kitchen,4,trial_30,yellow,kitchen,True,True,True,,,colors,1,2,2026-03-14_19-04-00.532,2026-03-14_19-04-03.545,2026-03-14_19-04-05.170,2026-03-14_19-04-08.568,2026-03-14_19-06-39.994,2026-03-14_19-06-43.007,2026-03-14_19-06-46.024,2026-03-14_19-06-46.888,2026-03-14_19-06-48.903,2026-03-14_19-06-49.607
101,3,shoe,35,7,green,bathroom,2,trial_35,green,kitchen,True,False,False,,,scenes,2,1,2026-03-14_19-04-11.872,2026-03-14_19-04-14.885,2026-03-14_19-04-16.494,2026-03-14_19-04-21.986,2026-03-14_19-07-38.989,2026-03-14_19-07-42.002,2026-03-14_19-07-48.221,2026-03-14_19-07-48.677,2026-03-14_19-07-45.019,2026-03-14_19-07-46.205
101,3,headphones,36,8,green,living_room,4,trial_33,green,living_room,True,True,True,,,colors,1,2,2026-03-14_19-04-25.932,2026-03-14_19-04-28.945,2026-03-14_19-04-30.035,2026-03-14_19-04-31.592,2026-03-14_19-07-15.584,2026-03-14_19-07-18.597,2026-03-14_19-07-21.615,2026-03-14_19-07-22.358,2026-03-14_19-07-24.373,2026-03-14_19-07-25.016
101,4,sponge,37,0,yellow,kitchen,1,trial_45,yellow,kitchen,True,True,True,,,scenes,2,1,2026-03-14_19-08-07.700,2026-03-14_19-08-10.713,2026-03-14_19-08-12.261,2026-03-14_19-08-13.942,2026-03-14_19-12-59.275,2026-03-14_19-13-02.289,2026-03-14_19-13-08.080,2026-03-14_19-13-08.870,2026-03-14_19-13-05.306,2026-03-14_19-13-06.065
101,4,laptop,38,1,red,living_room,2,trial_40,red,living_room,True,True,True,,,scenes,2,1,2026-03-14_19-08-17.270,2026-03-14_19-08-20.285,2026-03-14_19-08-22.303,2026-03-14_19-08-22.845,2026-03-14_19-11-58.735,2026-03-14_19-12-01.748,2026-03-14_19-12-09.024,2026-03-14_19-12-10.088,2026-03-14_19-12-04.765,2026-03-14_19-12-07.007
