subject,trial,object,probe,retrival_success,is_remember,subject_answer,probe_appear,probe_disappear,object_appear,object_disappear,start_retrival_time,retrival_time,colors_question_appear,colors_answer_time,scenes_question_appear,scenes_answer_time
101,trial_1,air conditioner,colors,TRUE,TRUE,red,2026-04-05_13-43-14.592,2026-04-05_13-43-15.613,2026-04-05_13-43-15.963,2026-04-05_13-43-17.985,2026-04-05_13-43-17.985,2026-04-05_13-43-18.906,2026-04-05_13-43-19.433,2026-04-05_13-43-20.122,,
101,trial_2,hat,scenes,TRUE,TRUE,bathroom,2026-04-05_13-43-21.166,2026-04-05_13-43-22.188,2026-04-05_13-43-22.524,2026-04-05_13-43-24.553,2026-04-05_13-43-24.553,2026-04-05_13-43-25.081,,,2026-04-05_13-43-25.613,2026-04-05_13-43-26.337
101,trial_3,bulb,colors,TRUE,TRUE,green,2026-04-05_13-43-27.365,2026-04-05_13-43-28.387,2026-04-05_13-43-28.738,2026-04-05_13-43-30.766,2026-04-05_13-43-30.766,2026-04-05_13-43-31.097,2026-04-05_13-43-31.622,2026-04-05_13-43-32.474,,
101,trial_4,sponge,scenes,TRUE,TRUE,kitchen,2026-04-05_13-43-33.503,2026-04-05_13-43-34.521,2026-04-05_13-43-34.868,2026-04-05_13-43-36.889,2026-04-05_13-43-36.889,2026-04-05_13-43-37.177,,,2026-04-05_13-43-37.709,2026-04-05_13-43-38.713
101,trial_5,game,colors,TRUE,TRUE,yellow,2026-04-05_13-43-39.740,2026-04-05_13-43-40.763,2026-04-05_13-43-41.101,2026-04-05_13-43-43.128,2026-04-05_13-43-43.128,2026-04-05_13-43-43.681,2026-04-05_13-43-44.213,2026-04-05_13-43-44.849,,
101,trial_6,chair,colors,TRUE,TRUE,yellow,2026-04-05_13-43-45.886,2026-04-05_13-43-46.904,2026-04-05_13-43-47.251,2026-04-05_13-43-49.276,2026-04-05_13-43-49.276,2026-04-05_13-43-49.698,2026-04-05_13-43-50.222,2026-04-05_13-43-51.234,,
101,trial_7,lego,colors,TRUE,TRUE,green,2026-04-05_13-43-52.266,2026-04-05_13-43-53.288,2026-04-05_13-43-53.653,2026-04-05_13-43-55.673,2026-04-05_13-43-55.673,2026-04-05_13-43-56.450,2026-04-05_13-43-56.975,2026-04-05_13-43-57.426,,
101,trial_8,sprey,colors,TRUE,TRUE,green,2026-04-05_13-43-58.455,2026-04-05_13-43-59.471,2026-04-05_13-43-59.822,2026-04-05_13-44-01.853,2026-04-05_13-44-01.853,2026-04-05_13-44-02.305,2026-04-05_13-44-02.839,2026-04-05_13-44-03.505,,
101,trial_9,sock,colors,TRUE,TRUE,yellow,2026-04-05_13-44-04.532,2026-04-05_13-44-05.555,2026-04-05_13-44-05.915,2026-04-05_13-44-07.944,2026-04-05_13-44-07.944,2026-04-05_13-44-08.553,2026-04-05_13-44-09.084,2026-04-05_13-44-09.842,,
101,trial_10,paper,scenes,TRUE,TRUE,kitchen,2026-04-05_13-44-10.874,2026-04-05_13-44-11.896,2026-04-05_13-44-12.246,2026-04-05_13-44-14.276,2026-04-05_13-44-14.276,2026-04-05_13-44-14.665,,,2026-04-05_13-44-15.193,2026-04-05_13-44-15.754
