,subject,trial_index,feature,word_question,user_answer,is_right,feature_appear,feature_disappear,question_appear,answer_time
0,102,0,yellow,red,left,True,2026-04-12_13-05-37.108,2026-04-12_13-05-38.629,2026-04-12_13-05-40.515,2026-04-12_13-05-41.676
1,102,1,yellow,yellow,right,True,2026-04-12_13-05-45.587,2026-04-12_13-05-47.105,2026-04-12_13-05-48.517,2026-04-12_13-05-49.332
2,102,2,bathroom,bathroom,right,True,2026-04-12_13-05-53.131,2026-04-12_13-05-54.656,2026-04-12_13-05-55.843,2026-04-12_13-05-56.869
3,102,3,bathroom,bathroom,right,True,2026-04-12_13-06-00.913,2026-04-12_13-06-02.438,2026-04-12_13-06-03.798,2026-04-12_13-06-04.844
4,102,4,kitchen,kitchen,right,True,2026-04-12_13-06-10.109,2026-04-12_13-06-11.630,2026-04-12_13-06-12.991,2026-04-12_13-06-13.916
5,102,5,bathroom,bathroom,right,True,2026-04-12_13-06-17.816,2026-04-12_13-06-19.339,2026-04-12_13-06-21.291,2026-04-12_13-06-22.324
6,102,6,red,red,right,True,2026-04-12_13-06-26.228,2026-04-12_13-06-27.747,2026-04-12_13-06-28.873,2026-04-12_13-06-29.892
7,102,7,green,green,right,True,2026-04-12_13-06-34.526,2026-04-12_13-06-36.046,2026-04-12_13-06-37.173,2026-04-12_13-06-38.052
8,102,8,kitchen,kitchen,right,True,2026-04-12_13-06-42.618,2026-04-12_13-06-44.139,2026-04-12_13-06-45.753,2026-04-12_13-06-46.404
9,102,9,living_room,living_room,right,True,2026-04-12_13-06-50.652,2026-04-12_13-06-52.171,2026-04-12_13-06-54.065,2026-04-12_13-06-54.941
10,102,10,yellow,yellow,right,True,2026-04-12_13-06-58.254,2026-04-12_13-06-59.772,2026-04-12_13-07-01.114,2026-04-12_13-07-01.796
11,102,11,green,yellow,left,True,2026-04-12_13-07-06.616,2026-04-12_13-07-08.138,2026-04-12_13-07-10.149,2026-04-12_13-07-11.020
12,102,12,bathroom,bathroom,right,True,2026-04-12_13-07-15.443,2026-04-12_13-07-16.965,2026-04-12_13-07-18.466,2026-04-12_13-07-19.212
13,102,13,yellow,green,left,True,2026-04-12_13-07-23.454,2026-04-12_13-07-24.972,2026-04-12_13-07-26.082,2026-04-12_13-07-27.092
14,102,14,yellow,green,left,True,2026-04-12_13-07-32.258,2026-04-12_13-07-33.780,2026-04-12_13-07-34.962,2026-04-12_13-07-35.916
15,102,15,bathroom,bathroom,right,True,2026-04-12_13-07-39.724,2026-04-12_13-07-41.247,2026-04-12_13-07-42.282,2026-04-12_13-07-43.269
16,102,16,green,yellow,left,True,2026-04-12_13-07-47.583,2026-04-12_13-07-49.105,2026-04-12_13-07-50.853,2026-04-12_13-07-51.684
17,102,17,kitchen,kitchen,right,True,2026-04-12_13-07-55.879,2026-04-12_13-07-57.404,2026-04-12_13-07-59.201,2026-04-12_13-07-59.772
18,102,18,green,red,left,True,2026-04-12_13-08-04.156,2026-04-12_13-08-05.682,2026-04-12_13-08-07.335,2026-04-12_13-08-08.373
19,102,19,living_room,living_room,right,True,2026-04-12_13-08-12.089,2026-04-12_13-08-13.613,2026-04-12_13-08-15.622,2026-04-12_13-08-16.341
20,102,20,living_room,bathroom,left,True,2026-04-12_13-08-21.593,2026-04-12_13-08-23.112,2026-04-12_13-08-25.003,2026-04-12_13-08-25.828
21,102,21,yellow,yellow,right,True,2026-04-12_13-08-30.549,2026-04-12_13-08-32.073,2026-04-12_13-08-33.908,2026-04-12_13-08-34.980
22,102,22,kitchen,living_room,left,True,2026-04-12_13-08-39.442,2026-04-12_13-08-40.965,2026-04-12_13-08-42.248,2026-04-12_13-08-43.580
23,102,23,yellow,yellow,right,True,2026-04-12_13-08-48.336,2026-04-12_13-08-49.855,2026-04-12_13-08-51.609,2026-04-12_13-08-52.404
24,102,24,green,red,left,True,2026-04-12_13-08-56.802,2026-04-12_13-08-58.323,2026-04-12_13-09-00.218,2026-04-12_13-09-01.340
25,102,25,red,green,left,True,2026-04-12_13-09-04.834,2026-04-12_13-09-06.355,2026-04-12_13-09-08.215,2026-04-12_13-09-09.260
26,102,26,green,green,right,True,2026-04-12_13-09-13.253,2026-04-12_13-09-14.771,2026-04-12_13-09-16.475,2026-04-12_13-09-17.516
27,102,27,yellow,yellow,right,True,2026-04-12_13-09-20.921,2026-04-12_13-09-22.439,2026-04-12_13-09-24.358,2026-04-12_13-09-25.148
28,102,28,living_room,living_room,right,True,2026-04-12_13-09-28.814,2026-04-12_13-09-30.331,2026-04-12_13-09-31.392,2026-04-12_13-09-32.284
29,102,29,living_room,kitchen,left,True,2026-04-12_13-09-37.649,2026-04-12_13-09-39.173,2026-04-12_13-09-40.566,2026-04-12_13-09-41.764
30,102,30,bathroom,kitchen,left,True,2026-04-12_13-09-46.538,2026-04-12_13-09-48.056,2026-04-12_13-09-49.999,2026-04-12_13-09-51.300
31,102,31,living_room,living_room,right,True,2026-04-12_13-09-56.453,2026-04-12_13-09-57.971,2026-04-12_13-09-59.046,2026-04-12_13-09-59.796
32,102,32,living_room,kitchen,left,True,2026-04-12_13-10-03.699,2026-04-12_13-10-05.222,2026-04-12_13-10-06.511,2026-04-12_13-10-07.316
33,102,33,kitchen,kitchen,right,True,2026-04-12_13-10-12.887,2026-04-12_13-10-14.414,2026-04-12_13-10-15.575,2026-04-12_13-10-16.436
34,102,34,bathroom,bathroom,right,True,2026-04-12_13-10-21.902,2026-04-12_13-10-23.422,2026-04-12_13-10-24.992,2026-04-12_13-10-25.828
35,102,35,red,yellow,left,True,2026-04-12_13-10-31.022,2026-04-12_13-10-32.539,2026-04-12_13-10-34.114,2026-04-12_13-10-34.956
36,102,36,red,red,right,True,2026-04-12_13-10-38.806,2026-04-12_13-10-40.331,2026-04-12_13-10-41.654,2026-04-12_13-10-42.564
37,102,37,kitchen,bathroom,left,True,2026-04-12_13-10-47.365,2026-04-12_13-10-48.890,2026-04-12_13-10-50.267,2026-04-12_13-10-51.124
38,102,38,bathroom,living_room,left,True,2026-04-12_13-10-56.613,2026-04-12_13-10-58.139,2026-04-12_13-11-00.157,2026-04-12_13-11-00.987
39,102,39,green,yellow,left,True,2026-04-12_13-11-05.575,2026-04-12_13-11-07.098,2026-04-12_13-11-08.334,2026-04-12_13-11-09.380
40,102,40,kitchen,kitchen,right,True,2026-04-12_13-11-13.357,2026-04-12_13-11-14.880,2026-04-12_13-11-16.751,2026-04-12_13-11-17.460
41,102,41,kitchen,kitchen,right,True,2026-04-12_13-11-23.115,2026-04-12_13-11-24.639,2026-04-12_13-11-26.429,2026-04-12_13-11-27.259
