subject,trial,object,probe,retrival_success,is_remember,subject_answer,probe_appear,probe_disappear,object_appear,object_disappear,start_retrival_time,retrival_time,scenes_question_appear,scenes_answer_time,colors_question_appear,colors_answer_time
102,trial_1,closet,colors,False,,,2026-04-12_14-23-02.037,2026-04-12_14-23-03.058,2026-04-12_14-23-03.410,2026-04-12_14-23-05.434,2026-04-12_14-23-05.434,2026-04-12_14-23-08.456,,,,
102,trial_2,coat,scenes,True,True,kitchen,2026-04-12_14-23-09.003,2026-04-12_14-23-10.024,2026-04-12_14-23-10.372,2026-04-12_14-23-12.393,2026-04-12_14-23-12.393,2026-04-12_14-23-12.903,2026-04-12_14-23-13.437,2026-04-12_14-23-18.415,,
102,trial_3,laptop,colors,True,True,red,2026-04-12_14-23-19.444,2026-04-12_14-23-20.466,2026-04-12_14-23-20.796,2026-04-12_14-23-22.824,2026-04-12_14-23-22.824,2026-04-12_14-23-23.215,,,2026-04-12_14-23-23.737,2026-04-12_14-23-24.487
102,trial_4,painting,colors,True,True,red,2026-04-12_14-23-25.515,2026-04-12_14-23-26.532,2026-04-12_14-23-26.889,2026-04-12_14-23-28.915,2026-04-12_14-23-28.915,2026-04-12_14-23-29.383,,,2026-04-12_14-23-29.903,2026-04-12_14-23-30.703
102,trial_5,sprey,colors,True,True,green,2026-04-12_14-23-31.737,2026-04-12_14-23-32.757,2026-04-12_14-23-33.102,2026-04-12_14-23-35.128,2026-04-12_14-23-35.128,2026-04-12_14-23-35.487,,,2026-04-12_14-23-36.012,2026-04-12_14-23-36.639
102,trial_6,ball,scenes,True,True,kitchen,2026-04-12_14-23-37.666,2026-04-12_14-23-38.683,2026-04-12_14-23-39.033,2026-04-12_14-23-41.050,2026-04-12_14-23-41.050,2026-04-12_14-23-41.695,2026-04-12_14-23-42.229,2026-04-12_14-23-43.015,,
102,trial_7,build a bear,scenes,True,True,living_room,2026-04-12_14-23-44.038,2026-04-12_14-23-45.058,2026-04-12_14-23-45.403,2026-04-12_14-23-47.432,2026-04-12_14-23-47.432,2026-04-12_14-23-47.911,2026-04-12_14-23-48.445,2026-04-12_14-23-48.983,,
102,trial_8,paper,scenes,True,True,bathroom,2026-04-12_14-23-50.010,2026-04-12_14-23-51.032,2026-04-12_14-23-51.394,2026-04-12_14-23-53.423,2026-04-12_14-23-53.423,2026-04-12_14-23-56.335,2026-04-12_14-23-56.865,2026-04-12_14-23-58.983,,
102,trial_9,clock,colors,True,True,yellow,2026-04-12_14-24-00.010,2026-04-12_14-24-01.033,2026-04-12_14-24-01.380,2026-04-12_14-24-03.400,2026-04-12_14-24-03.400,2026-04-12_14-24-03.839,,,2026-04-12_14-24-04.362,2026-04-12_14-24-04.895
102,trial_10,bucket,colors,True,True,green,2026-04-12_14-24-05.932,2026-04-12_14-24-06.949,2026-04-12_14-24-07.301,2026-04-12_14-24-09.331,2026-04-12_14-24-09.331,2026-04-12_14-24-09.727,,,2026-04-12_14-24-10.255,2026-04-12_14-24-11.079
102,trial_11,bulb,scenes,True,True,kitchen,2026-04-12_14-24-12.109,2026-04-12_14-24-13.125,2026-04-12_14-24-13.476,2026-04-12_14-24-15.501,2026-04-12_14-24-15.501,2026-04-12_14-24-15.943,2026-04-12_14-24-16.475,2026-04-12_14-24-17.222,,
102,trial_12,trash can,scenes,True,True,living_room,2026-04-12_14-24-18.251,2026-04-12_14-24-19.275,2026-04-12_14-24-19.621,2026-04-12_14-24-21.644,2026-04-12_14-24-21.644,2026-04-12_14-24-22.271,2026-04-12_14-24-22.800,2026-04-12_14-24-24.422,,
102,trial_13,phone,scenes,True,True,bathroom,2026-04-12_14-24-25.447,2026-04-12_14-24-26.467,2026-04-12_14-24-26.812,2026-04-12_14-24-28.834,2026-04-12_14-24-28.834,2026-04-12_14-24-29.335,2026-04-12_14-24-29.866,2026-04-12_14-24-30.639,,
102,trial_14,lego,scenes,True,True,bathroom,2026-04-12_14-24-31.664,2026-04-12_14-24-32.682,2026-04-12_14-24-33.028,2026-04-12_14-24-35.055,2026-04-12_14-24-35.055,2026-04-12_14-24-35.854,2026-04-12_14-24-36.379,2026-04-12_14-24-37.535,,
102,trial_15,woman,scenes,True,True,bathroom,2026-04-12_14-24-38.564,2026-04-12_14-24-39.582,2026-04-12_14-24-39.930,2026-04-12_14-24-41.952,2026-04-12_14-24-41.952,2026-04-12_14-24-42.350,2026-04-12_14-24-42.877,2026-04-12_14-24-43.367,,
102,trial_16,cat,colors,True,True,green,2026-04-12_14-24-44.388,2026-04-12_14-24-45.406,2026-04-12_14-24-45.751,2026-04-12_14-24-47.778,2026-04-12_14-24-47.778,2026-04-12_14-24-48.319,,,2026-04-12_14-24-48.852,2026-04-12_14-24-50.007
102,trial_17,candle,scenes,True,True,kitchen,2026-04-12_14-24-51.035,2026-04-12_14-24-52.058,2026-04-12_14-24-52.402,2026-04-12_14-24-54.431,2026-04-12_14-24-54.431,2026-04-12_14-24-54.919,2026-04-12_14-24-55.445,2026-04-12_14-24-56.607,,
102,trial_18,gloves,colors,True,True,green,2026-04-12_14-24-57.635,2026-04-12_14-24-58.657,2026-04-12_14-24-58.989,2026-04-12_14-25-01.009,2026-04-12_14-25-01.009,2026-04-12_14-25-01.463,,,2026-04-12_14-25-01.996,2026-04-12_14-25-02.743
102,trial_19,apple,colors,True,True,yellow,2026-04-12_14-25-03.768,2026-04-12_14-25-04.790,2026-04-12_14-25-05.136,2026-04-12_14-25-07.159,2026-04-12_14-25-07.159,2026-04-12_14-25-07.487,,,2026-04-12_14-25-08.021,2026-04-12_14-25-08.855
102,trial_20,wallet,colors,True,True,red,2026-04-12_14-25-09.886,2026-04-12_14-25-10.907,2026-04-12_14-25-11.273,2026-04-12_14-25-13.299,2026-04-12_14-25-13.299,2026-04-12_14-25-13.591,,,2026-04-12_14-25-14.116,2026-04-12_14-25-15.135
102,trial_21,brush,colors,True,True,red,2026-04-12_14-25-16.161,2026-04-12_14-25-17.183,2026-04-12_14-25-17.528,2026-04-12_14-25-19.555,2026-04-12_14-25-19.555,2026-04-12_14-25-20.047,,,2026-04-12_14-25-20.576,2026-04-12_14-25-21.135
102,trial_22,wipes,scenes,True,True,kitchen,2026-04-12_14-25-22.168,2026-04-12_14-25-23.192,2026-04-12_14-25-23.538,2026-04-12_14-25-25.558,2026-04-12_14-25-25.558,2026-04-12_14-25-26.039,2026-04-12_14-25-26.570,2026-04-12_14-25-27.247,,
102,trial_23,keyboard,scenes,True,True,bathroom,2026-04-12_14-25-28.276,2026-04-12_14-25-29.300,2026-04-12_14-25-29.636,2026-04-12_14-25-31.660,2026-04-12_14-25-31.660,2026-04-12_14-25-32.015,2026-04-12_14-25-32.566,2026-04-12_14-25-33.271,,
102,trial_24,glasses,scenes,False,,,2026-04-12_14-25-34.306,2026-04-12_14-25-35.324,2026-04-12_14-25-35.666,2026-04-12_14-25-37.689,2026-04-12_14-25-37.689,2026-04-12_14-25-40.706,,,,
102,trial_25,sponge,scenes,True,True,kitchen,2026-04-12_14-25-41.241,2026-04-12_14-25-42.258,2026-04-12_14-25-42.604,2026-04-12_14-25-44.631,2026-04-12_14-25-44.631,2026-04-12_14-25-45.311,2026-04-12_14-25-45.845,2026-04-12_14-25-46.767,,
102,trial_26,game,colors,True,True,green,2026-04-12_14-25-47.799,2026-04-12_14-25-48.816,2026-04-12_14-25-49.152,2026-04-12_14-25-51.182,2026-04-12_14-25-51.182,2026-04-12_14-25-51.575,,,2026-04-12_14-25-52.101,2026-04-12_14-25-52.839
102,trial_27,man,scenes,True,True,bathroom,2026-04-12_14-25-53.871,2026-04-12_14-25-54.891,2026-04-12_14-25-55.238,2026-04-12_14-25-57.264,2026-04-12_14-25-57.264,2026-04-12_14-25-57.551,2026-04-12_14-25-58.071,2026-04-12_14-25-58.567,,
102,trial_28,air conditioner,scenes,True,True,living_room,2026-04-12_14-25-59.599,2026-04-12_14-26-00.616,2026-04-12_14-26-00.966,2026-04-12_14-26-02.996,2026-04-12_14-26-02.996,2026-04-12_14-26-03.319,2026-04-12_14-26-03.850,2026-04-12_14-26-04.439,,
102,trial_29,key,colors,True,True,yellow,2026-04-12_14-26-05.471,2026-04-12_14-26-06.492,2026-04-12_14-26-06.836,2026-04-12_14-26-08.865,2026-04-12_14-26-08.865,2026-04-12_14-26-09.182,,,2026-04-12_14-26-09.708,2026-04-12_14-26-10.455
102,trial_30,headphones,scenes,True,True,living_room,2026-04-12_14-26-11.484,2026-04-12_14-26-12.500,2026-04-12_14-26-12.853,2026-04-12_14-26-14.880,2026-04-12_14-26-14.880,2026-04-12_14-26-15.206,2026-04-12_14-26-15.728,2026-04-12_14-26-16.287,,
102,trial_31,shoe,colors,True,True,red,2026-04-12_14-26-17.326,2026-04-12_14-26-18.341,2026-04-12_14-26-18.674,2026-04-12_14-26-20.694,2026-04-12_14-26-20.694,2026-04-12_14-26-21.063,,,2026-04-12_14-26-21.590,2026-04-12_14-26-22.175
