,subject,trial,object,colors,scenes,retrival_success,retrival_report_color,retrival_report_scene,object_appear,object_disappear,start_retrival_time,retrival_time,retrival_question_appear,retrival_report_time,scenes_question_appear,scenes_answer_time,colors_question_appear,colors_answer_time
0,102,trial_1,dog,,,False,,,2026-04-12_13-54-06.635,2026-04-12_13-54-08.665,2026-04-12_13-54-08.665,2026-04-12_13-54-11.681,,,,,,
1,102,trial_2,fan,,,False,,,2026-04-12_13-54-12.235,2026-04-12_13-54-14.263,2026-04-12_13-54-14.263,2026-04-12_13-54-17.281,,,,,,
2,102,trial_3,chair,,kitchen,True,False,True,2026-04-12_13-54-17.846,2026-04-12_13-54-19.872,2026-04-12_13-54-19.872,2026-04-12_13-54-21.009,2026-04-12_13-54-21.535,2026-04-12_13-54-30.321,2026-04-12_13-54-30.853,2026-04-12_13-54-33.873,,
3,102,trial_4,headphones,green,living_room,True,True,True,2026-04-12_13-54-34.922,2026-04-12_13-54-36.946,2026-04-12_13-54-36.946,2026-04-12_13-54-37.481,2026-04-12_13-54-38.006,2026-04-12_13-54-46.449,2026-04-12_13-54-49.124,2026-04-12_13-54-50.072,2026-04-12_13-54-46.972,2026-04-12_13-54-48.097
4,102,trial_5,tie,,,False,,,2026-04-12_13-54-51.116,2026-04-12_13-54-53.142,2026-04-12_13-54-53.142,2026-04-12_13-54-56.164,,,,,,
5,102,trial_6,coat,red,kitchen,True,True,True,2026-04-12_13-54-56.719,2026-04-12_13-54-58.741,2026-04-12_13-54-58.741,2026-04-12_13-54-59.057,2026-04-12_13-54-59.579,2026-04-12_13-55-06.841,2026-04-12_13-55-07.367,2026-04-12_13-55-08.409,2026-04-12_13-55-09.437,2026-04-12_13-55-10.233
6,102,trial_7,lego,yellow,bathroom,True,True,True,2026-04-12_13-55-11.286,2026-04-12_13-55-13.313,2026-04-12_13-55-13.313,2026-04-12_13-55-15.056,2026-04-12_13-55-15.578,2026-04-12_13-55-20.785,2026-04-12_13-55-21.313,2026-04-12_13-55-22.969,2026-04-12_13-55-23.999,2026-04-12_13-55-25.409
7,102,trial_8,shirt,,bathroom,True,False,True,2026-04-12_13-55-26.485,2026-04-12_13-55-28.514,2026-04-12_13-55-28.514,2026-04-12_13-55-29.193,2026-04-12_13-55-29.725,2026-04-12_13-55-40.505,2026-04-12_13-55-41.041,2026-04-12_13-55-44.177,,
8,102,trial_9,ladder,,kitchen,True,False,True,2026-04-12_13-55-45.235,2026-04-12_13-55-47.263,2026-04-12_13-55-47.263,2026-04-12_13-55-47.297,2026-04-12_13-55-47.829,2026-04-12_13-55-53.128,2026-04-12_13-55-53.653,2026-04-12_13-55-55.905,,
9,102,trial_10,keyboard,red,bathroom,True,True,True,2026-04-12_14-02-32.568,2026-04-12_14-02-34.595,2026-04-12_14-02-34.595,2026-04-12_14-02-35.233,2026-04-12_14-02-35.760,2026-04-12_14-02-40.033,2026-04-12_14-02-40.552,2026-04-12_14-02-41.536,2026-04-12_14-02-42.566,2026-04-12_14-02-43.640
