,subject,trial,object,colors,scenes,retrival_success,retrival_report_color,retrival_report_scene,object_appear,object_disappear,start_retrival_time,retrival_time,retrival_question_appear,retrival_report_time,colors_question_appear,colors_answer_time,scenes_question_appear,scenes_answer_time
0,103,trial_1,shoe,yellow,bathroom,True,True,True,2026-04-05_13-22-41.485,2026-04-05_13-22-43.506,2026-04-05_13-22-43.506,2026-04-05_13-22-43.859,2026-04-05_13-22-44.391,2026-04-05_13-22-46.131,2026-04-05_13-22-46.649,2026-04-05_13-22-47.563,2026-04-05_13-22-48.583,2026-04-05_13-22-49.483
1,103,trial_2,trash can,red,kitchen,True,True,True,2026-04-05_13-22-50.542,2026-04-05_13-22-52.568,2026-04-05_13-22-52.568,2026-04-05_13-22-53.051,2026-04-05_13-22-53.577,2026-04-05_13-22-54.274,2026-04-05_13-22-54.805,2026-04-05_13-22-55.555,2026-04-05_13-22-56.579,2026-04-05_13-22-57.419
2,103,trial_3,sock,yellow,kitchen,True,True,True,2026-04-05_13-22-58.476,2026-04-05_13-23-00.496,2026-04-05_13-23-00.496,2026-04-05_13-23-01.459,2026-04-05_13-23-01.987,2026-04-05_13-23-02.675,2026-04-05_13-23-03.208,2026-04-05_13-23-03.947,2026-04-05_13-23-04.972,2026-04-05_13-23-05.867
3,103,trial_4,clock,green,living_room,True,True,True,2026-04-05_13-23-06.922,2026-04-05_13-23-08.950,2026-04-05_13-23-08.950,2026-04-05_13-23-09.723,2026-04-05_13-23-10.255,2026-04-05_13-23-10.899,2026-04-05_13-23-11.429,2026-04-05_13-23-12.018,2026-04-05_13-23-13.047,2026-04-05_13-23-13.643
4,103,trial_5,towel,green,kitchen,True,True,True,2026-04-05_13-23-14.699,2026-04-05_13-23-16.725,2026-04-05_13-23-16.725,2026-04-05_13-23-17.299,2026-04-05_13-23-17.833,2026-04-05_13-23-18.651,2026-04-05_13-23-19.174,2026-04-05_13-23-19.851,2026-04-05_13-23-20.879,2026-04-05_13-23-21.602
5,103,trial_6,laptop,yellow,bathroom,True,True,True,2026-04-05_13-23-22.642,2026-04-05_13-23-24.667,2026-04-05_13-23-24.667,2026-04-05_13-23-25.675,2026-04-05_13-23-26.204,2026-04-05_13-23-26.651,2026-04-05_13-23-27.179,2026-04-05_13-23-27.786,2026-04-05_13-23-28.808,2026-04-05_13-23-30.307
6,103,trial_7,closet,red,living_room,True,True,True,2026-04-05_13-23-31.360,2026-04-05_13-23-33.386,2026-04-05_13-23-33.386,2026-04-05_13-23-34.555,2026-04-05_13-23-35.081,2026-04-05_13-23-36.363,2026-04-05_13-23-36.890,2026-04-05_13-23-37.603,2026-04-05_13-23-38.634,2026-04-05_13-23-39.267
7,103,trial_8,shirt,red,living_room,True,True,True,2026-04-05_13-23-40.318,2026-04-05_13-23-42.339,2026-04-05_13-23-42.339,2026-04-05_13-23-43.435,2026-04-05_13-23-43.962,2026-04-05_13-23-44.771,2026-04-05_13-23-45.299,2026-04-05_13-23-46.259,2026-04-05_13-23-47.287,2026-04-05_13-23-47.907
8,103,trial_9,candle,green,,True,True,False,2026-04-05_13-23-48.967,2026-04-05_13-23-50.995,2026-04-05_13-23-50.995,2026-04-05_13-23-52.635,2026-04-05_13-23-53.158,2026-04-05_13-23-54.099,2026-04-05_13-23-54.629,2026-04-05_13-23-55.363,,
9,103,trial_10,brush,green,kitchen,True,True,True,2026-04-05_13-27-27.556,2026-04-05_13-27-29.588,2026-04-05_13-27-29.588,2026-04-05_13-27-30.683,2026-04-05_13-27-31.212,2026-04-05_13-27-32.139,2026-04-05_13-27-32.662,2026-04-05_13-27-33.570,2026-04-05_13-27-34.600,2026-04-05_13-27-37.027
10,103,trial_11,sprey,green,bathroom,True,True,True,2026-04-05_13-27-38.098,2026-04-05_13-27-40.121,2026-04-05_13-27-40.121,2026-04-05_13-27-40.858,2026-04-05_13-27-41.384,2026-04-05_13-27-41.938,2026-04-05_13-27-42.466,2026-04-05_13-27-43.098,2026-04-05_13-27-44.125,2026-04-05_13-27-44.866
