,subject,trial_index,feature,word_question,user_answer,is_right,feature_appear,feature_disappear,question_appear,answer_time
0,1111,0,green,red,left,True,2026-03-11_20-13-30.993,2026-03-11_20-13-32.006,2026-03-11_20-13-33.633,2026-03-11_20-13-34.772
1,1111,1,red,yellow,right,False,2026-03-11_20-13-39.869,2026-03-11_20-13-40.882,2026-03-11_20-13-42.201,2026-03-11_20-13-45.351
2,1111,2,yellow,green,left,True,2026-03-11_20-13-52.772,2026-03-11_20-13-53.785,2026-03-11_20-13-55.231,2026-03-11_20-13-56.358
3,1111,3,living_room,kitchen,left,True,2026-03-11_20-14-00.463,2026-03-11_20-14-01.477,2026-03-11_20-14-02.664,2026-03-11_20-14-04.764
4,1111,4,bathroom,bathroom,right,True,2026-03-11_20-14-09.083,2026-03-11_20-14-10.095,2026-03-11_20-14-11.285,2026-03-11_20-14-15.235
5,1111,5,green,green,left,False,2026-03-11_20-14-20.397,2026-03-11_20-14-21.410,2026-03-11_20-14-22.774,2026-03-11_20-14-27.321
6,1111,6,living_room,living_room,left,False,2026-03-11_20-14-34.927,2026-03-11_20-14-35.940,2026-03-11_20-14-37.251,2026-03-11_20-14-53.531
7,1111,7,yellow,green,left,True,2026-03-11_20-15-00.986,2026-03-11_20-15-01.999,2026-03-11_20-15-03.137,2026-03-11_20-15-03.887
8,1111,8,bathroom,living_room,left,True,2026-03-11_20-15-08.103,2026-03-11_20-15-09.117,2026-03-11_20-15-10.870,2026-03-11_20-15-11.559
9,1111,9,kitchen,bathroom,right,False,2026-03-11_20-15-15.227,2026-03-11_20-15-16.241,2026-03-11_20-15-17.860,2026-03-11_20-15-19.168
10,1111,10,red,red,left,False,2026-03-11_20-15-26.665,2026-03-11_20-15-27.678,2026-03-11_20-15-29.625,2026-03-11_20-15-30.571
11,1111,11,kitchen,kitchen,right,True,2026-03-11_20-15-38.649,2026-03-11_20-15-39.662,2026-03-11_20-15-41.077,2026-03-11_20-15-42.256
