,subject,trial,object,colors,scenes,object_appear,object_disappear,colors_question_appear,colors_answer_time,scenes_question_appear,scenes_answer_time
0,1111,trial_1,candle,yellow,kitchen,2026-03-11_20-21-59.459,2026-03-11_20-22-02.473,2026-03-11_20-22-05.492,2026-03-11_20-22-07.172,2026-03-11_20-22-09.190,2026-03-11_20-22-10.362
1,1111,trial_2,brush,red,bathroom,2026-03-11_20-22-12.389,2026-03-11_20-22-15.402,2026-03-11_20-22-21.909,2026-03-11_20-22-23.572,2026-03-11_20-22-18.419,2026-03-11_20-22-19.892
2,1111,trial_3,woman,green,living_room,2026-03-11_20-22-25.599,2026-03-11_20-22-28.613,2026-03-11_20-22-31.630,2026-03-11_20-22-32.509,2026-03-11_20-22-34.525,2026-03-11_20-22-35.942
3,1111,trial_4,flower pot,red,bathroom,2026-03-11_20-22-37.970,2026-03-11_20-22-40.983,2026-03-11_20-22-47.076,2026-03-11_20-22-53.845,2026-03-11_20-22-44.000,2026-03-11_20-22-45.060
4,1111,trial_5,bucket,yellow,bathroom,2026-03-11_20-22-55.871,2026-03-11_20-22-58.885,2026-03-11_20-23-01.902,2026-03-11_20-23-02.958,2026-03-11_20-23-04.973,2026-03-11_20-23-06.165
5,1111,trial_6,paper,green,living_room,2026-03-11_20-23-08.190,2026-03-11_20-23-11.203,2026-03-11_20-23-14.220,2026-03-11_20-23-15.013,2026-03-11_20-23-17.030,2026-03-11_20-23-18.149
6,1111,trial_7,lego,yellow,bathroom,2026-03-11_20-23-20.176,2026-03-11_20-23-23.189,2026-03-11_20-23-26.206,2026-03-11_20-23-28.047,2026-03-11_20-23-30.064,2026-03-11_20-23-31.462
7,1111,trial_8,shirt,red,kitchen,2026-03-11_20-23-33.489,2026-03-11_20-23-36.503,2026-03-11_20-23-39.520,2026-03-11_20-23-40.684,2026-03-11_20-23-42.700,2026-03-11_20-23-44.909
8,1111,trial_9,fan,red,bathroom,2026-03-11_20-23-46.936,2026-03-11_20-23-49.949,2026-03-11_20-23-52.966,2026-03-11_20-23-54.085,2026-03-11_20-23-56.101,2026-03-11_20-23-57.984
9,1111,trial_10,sock,yellow,bathroom,2026-03-11_20-27-40.044,2026-03-11_20-27-43.058,2026-03-11_20-27-49.311,2026-03-11_20-27-51.771,2026-03-11_20-27-46.078,2026-03-11_20-27-47.295
10,1111,trial_11,baby,green,kitchen,2026-03-11_20-27-53.799,2026-03-11_20-27-56.812,2026-03-11_20-28-06.595,2026-03-11_20-28-10.819,2026-03-11_20-27-59.830,2026-03-11_20-28-04.578
11,1111,trial_12,dustpan,green,bathroom,2026-03-11_20-28-12.848,2026-03-11_20-28-15.861,2026-03-11_20-28-22.540,2026-03-11_20-28-26.552,2026-03-11_20-28-18.878,2026-03-11_20-28-20.523
12,1111,trial_13,ladder,green,bathroom,2026-03-11_20-28-28.581,2026-03-11_20-28-31.594,2026-03-11_20-28-34.612,2026-03-11_20-29-33.764,2026-03-11_20-29-35.782,2026-03-11_20-29-38.115
