,subject,trial,object,colors,scenes,object_appear,feature_disappear,difficulty_question_appear,difficulty_answer_time
0,1111,1,candle,green,bathroom,2026-03-11_20-17-27.638,2026-03-11_20-17-30.652,2026-03-11_20-17-32.029,2026-03-11_20-17-33.944
1,1111,2,shirt,red,kitchen,2026-03-11_20-17-37.785,2026-03-11_20-17-40.798,2026-03-11_20-17-41.877,2026-03-11_20-17-43.478
2,1111,3,bucket,yellow,living_room,2026-03-11_20-17-47.385,2026-03-11_20-17-50.398,2026-03-11_20-17-52.384,2026-03-11_20-17-54.307
3,1111,4,brush,yellow,bathroom,2026-03-11_20-17-58.762,2026-03-11_20-18-01.776,2026-03-11_20-18-02.873,2026-03-11_20-18-06.026
4,1111,5,flower pot,green,kitchen,2026-03-11_20-18-09.948,2026-03-11_20-18-12.961,2026-03-11_20-18-14.146,2026-03-11_20-18-16.051
5,1111,6,woman,red,living_room,2026-03-11_20-18-19.615,2026-03-11_20-18-22.629,2026-03-11_20-18-23.915,2026-03-11_20-18-26.469
6,1111,7,fan,red,kitchen,2026-03-11_20-18-30.697,2026-03-11_20-18-33.710,2026-03-11_20-18-35.616,2026-03-11_20-18-39.724
7,1111,8,paper,green,living_room,2026-03-11_20-18-44.095,2026-03-11_20-18-47.109,2026-03-11_20-18-48.232,2026-03-11_20-18-54.265
8,1111,9,lego,yellow,bathroom,2026-03-11_20-18-58.712,2026-03-11_20-19-01.725,2026-03-11_20-19-03.686,2026-03-11_20-19-05.224
9,1111,10,sock,green,living_room,2026-03-11_20-24-06.265,2026-03-11_20-24-09.279,2026-03-11_20-24-10.953,2026-03-11_20-24-12.436
