,subject,trial,object,colors,scenes,object_appear,object_disappear,scenes_question_appear,scenes_answer_time,colors_question_appear,colors_answer_time
0,999,trial_1,build a bear,red,kitchen,2026-03-08_23-10-11.660,2026-03-08_23-10-14.674,2026-03-08_23-10-17.692,2026-03-08_23-10-22.650,2026-03-08_23-10-24.666,2026-03-08_23-10-27.944
1,999,trial_2,sweeper,red,living_room,2026-03-08_23-10-29.971,2026-03-08_23-10-32.984,2026-03-08_23-10-36.002,2026-03-08_23-10-39.079,2026-03-08_23-10-41.096,2026-03-08_23-10-42.947
2,999,trial_3,bulb,yellow,kitchen,2026-03-08_23-10-44.974,2026-03-08_23-10-47.987,2026-03-08_23-10-58.470,2026-03-08_23-11-06.910,2026-03-08_23-10-51.004,2026-03-08_23-10-56.454
3,999,trial_4,hat,yellow,kitchen,2026-03-08_23-11-08.933,2026-03-08_23-11-11.946,2026-03-08_23-11-14.963,2026-03-08_23-11-19.973,2026-03-08_23-11-21.990,2026-03-08_23-11-25.138
4,999,trial_5,iphone,green,bathroom,2026-03-08_23-11-27.165,2026-03-08_23-11-30.179,2026-03-08_23-11-33.197,2026-03-08_23-11-35.443,2026-03-08_23-11-37.459,2026-03-08_23-11-45.322
5,999,trial_6,cat,yellow,kitchen,2026-03-08_23-11-47.349,2026-03-08_23-11-50.363,2026-03-08_23-11-53.380,2026-03-08_23-11-56.977,2026-03-08_23-11-58.994,2026-03-08_23-12-05.233
6,999,trial_7,closet,green,living_room,2026-03-08_23-12-07.261,2026-03-08_23-12-10.274,2026-03-08_23-12-17.626,2026-03-08_23-12-20.547,2026-03-08_23-12-13.291,2026-03-08_23-12-15.610
7,999,trial_8,keyboard,red,kitchen,2026-03-08_23-12-22.569,2026-03-08_23-12-25.583,2026-03-08_23-12-28.600,2026-03-08_23-12-33.691,2026-03-08_23-12-35.708,2026-03-08_23-12-39.394
8,999,trial_9,clock,yellow,living_room,2026-03-08_23-12-41.422,2026-03-08_23-12-44.436,2026-03-08_23-12-54.684,2026-03-08_23-12-57.524,2026-03-08_23-12-47.454,2026-03-08_23-12-52.666
9,999,trial_10,glasses,yellow,bathroom,2026-03-08_23-16-54.399,2026-03-08_23-16-57.413,2026-03-08_23-17-00.432,2026-03-08_23-17-04.135,2026-03-08_23-17-06.152,2026-03-08_23-17-10.787
10,999,trial_11,chair,yellow,kitchen,2026-03-08_23-17-12.815,2026-03-08_23-17-15.828,2026-03-08_23-17-24.972,2026-03-08_23-17-26.500,2026-03-08_23-17-18.846,2026-03-08_23-17-22.955
11,999,trial_12,dog,red,kitchen,2026-03-08_23-17-28.528,2026-03-08_23-17-31.541,2026-03-08_23-17-39.432,2026-03-08_23-17-40.780,2026-03-08_23-17-34.558,2026-03-08_23-17-37.414
12,999,trial_13,apple,green,living_room,2026-03-08_23-17-42.806,2026-03-08_23-17-45.819,2026-03-08_23-17-53.611,2026-03-08_23-17-55.952,2026-03-08_23-17-48.836,2026-03-08_23-17-51.594
13,999,trial_14,air_conditioner,yellow,bathroom,2026-03-08_23-17-57.979,2026-03-08_23-18-00.992,2026-03-08_23-18-08.377,2026-03-08_23-18-09.611,2026-03-08_23-18-04.010,2026-03-08_23-18-06.359
14,999,trial_15,gloves,red,living_room,2026-03-08_23-18-11.633,2026-03-08_23-18-14.646,2026-03-08_23-18-17.662,2026-03-08_23-18-23.532,2026-03-08_23-18-25.549,2026-03-08_23-18-26.916
15,999,trial_16,painting,green,living_room,2026-03-08_23-18-28.943,2026-03-08_23-18-31.956,2026-03-08_23-18-34.974,2026-03-08_23-18-36.496,2026-03-08_23-18-38.512,2026-03-08_23-18-40.458
16,999,trial_17,mog,yellow,kitchen,2026-03-08_23-18-42.485,2026-03-08_23-18-45.499,2026-03-08_23-18-48.516,2026-03-08_23-18-51.187,2026-03-08_23-18-53.204,2026-03-08_23-18-55.661
17,999,trial_18,game,red,bathroom,2026-03-08_23-18-57.682,2026-03-08_23-19-00.695,2026-03-08_23-19-08.789,2026-03-08_23-19-11.357,2026-03-08_23-19-03.712,2026-03-08_23-19-06.771
