,subject,trial,object,colors,scenes,object_appear,feature_disappear,difficulty_question_appear,difficulty_answer_time
0,999,1,cat,red,kitchen,2026-03-08_23-06-26.790,2026-03-08_23-06-29.803,2026-03-08_23-06-31.412,2026-03-08_23-06-34.800
1,999,2,iphone,red,bathroom,2026-03-08_23-06-38.886,2026-03-08_23-06-41.900,2026-03-08_23-06-43.300,2026-03-08_23-06-49.672
2,999,3,clock,yellow,bathroom,2026-03-08_23-06-53.250,2026-03-08_23-06-56.264,2026-03-08_23-06-58.008,2026-03-08_23-06-59.401
3,999,4,hat,green,kitchen,2026-03-08_23-07-02.676,2026-03-08_23-07-05.689,2026-03-08_23-07-06.897,2026-03-08_23-07-10.525
4,999,5,bulb,green,bathroom,2026-03-08_23-07-14.908,2026-03-08_23-07-17.921,2026-03-08_23-07-19.857,2026-03-08_23-07-26.612
5,999,6,sweeper,red,living_room,2026-03-08_23-07-30.988,2026-03-08_23-07-34.002,2026-03-08_23-07-35.817,2026-03-08_23-07-37.284
6,999,7,keyboard,yellow,living_room,2026-03-08_23-07-40.106,2026-03-08_23-07-43.119,2026-03-08_23-07-44.742,2026-03-08_23-07-48.103
7,999,8,build a bear,yellow,kitchen,2026-03-08_23-07-51.884,2026-03-08_23-07-54.898,2026-03-08_23-07-56.595,2026-03-08_23-07-57.885
8,999,9,closet,green,living_room,2026-03-08_23-08-02.103,2026-03-08_23-08-05.116,2026-03-08_23-08-06.587,2026-03-08_23-08-19.095
9,999,10,mog,green,kitchen,2026-03-08_23-13-05.201,2026-03-08_23-13-08.214,2026-03-08_23-13-09.912,2026-03-08_23-13-14.042
10,999,11,dog,red,kitchen,2026-03-08_23-13-18.049,2026-03-08_23-13-21.063,2026-03-08_23-13-22.659,2026-03-08_23-13-23.935
11,999,12,game,red,bathroom,2026-03-08_23-13-26.511,2026-03-08_23-13-29.524,2026-03-08_23-13-31.254,2026-03-08_23-13-34.953
12,999,13,painting,green,living_room,2026-03-08_23-13-39.291,2026-03-08_23-13-42.304,2026-03-08_23-13-43.353,2026-03-08_23-13-47.495
13,999,14,chair,yellow,kitchen,2026-03-08_23-13-51.936,2026-03-08_23-13-54.949,2026-03-08_23-13-56.441,2026-03-08_23-13-58.063
