,subject,trial_index,feature,word_question,user_answer,is_right,feature_appear,feature_disappear
0,333,0,animate,blue,red,True,2026-06-12_18-17-16.052,2026-06-12_18-17-17.556
1,333,1,inanimate,blue,red,True,2026-06-12_18-17-18.703,2026-06-12_18-17-20.205
2,333,2,inanimate,blue,red,True,2026-06-12_18-17-22.382,2026-06-12_18-17-23.886
3,333,3,animate,blue,red,True,2026-06-12_18-17-25.333,2026-06-12_18-17-26.836
4,333,4,inanimate,blue,red,True,2026-06-12_18-17-28.960,2026-06-12_18-17-30.463
5,333,5,inanimate,blue,red,True,2026-06-12_18-17-32.172,2026-06-12_18-17-33.675
6,333,6,animate,blue,red,True,2026-06-12_18-17-35.843,2026-06-12_18-17-37.346
7,333,7,inanimate,blue,red,True,2026-06-12_18-17-40.062,2026-06-12_18-17-41.564
8,333,8,animate,blue,red,True,2026-06-12_18-17-44.103,2026-06-12_18-17-45.606
9,333,9,animate,blue,red,True,2026-06-12_18-17-46.939,2026-06-12_18-17-48.442
