,subject,trial,verb,trial_index,cue_verb_appear,recalled,recall_key_time,cue_verb_disappear,animacy_question_appear,animacy_answer,animacy_answer_time
0,5555,1,לנסוע,0,2026-06-07_23-51-30.181,False,2026-06-07_23-51-37.191,2026-06-07_23-51-39.201,2026-06-07_23-51-39.208,inanimate,2026-06-07_23-51-39.576
1,5555,2,לאכול,1,2026-06-07_23-51-40.216,False,2026-06-07_23-51-47.226,2026-06-07_23-51-49.236,2026-06-07_23-51-49.243,inanimate,2026-06-07_23-51-58.325
2,5555,3,לקרוא,2,2026-06-07_23-51-59.652,False,2026-06-07_23-52-06.662,2026-06-07_23-52-08.672,2026-06-07_23-52-08.678,inanimate,2026-06-07_23-52-31.972
3,5555,4,לרוץ,3,2026-06-07_23-52-33.387,False,2026-06-07_23-52-40.397,2026-06-07_23-52-42.407,2026-06-07_23-52-42.415,animate,2026-06-07_23-52-42.966
4,5555,5,לשתות,4,2026-06-07_23-52-43.875,True,2026-06-07_23-52-50.870,2026-06-07_23-52-52.880,2026-06-07_23-52-52.886,inanimate,2026-06-07_23-52-53.315
5,5555,6,לקפוץ,5,2026-06-07_23-52-54.554,True,2026-06-07_23-53-01.221,2026-06-07_23-53-03.231,2026-06-07_23-53-03.239,inanimate,2026-06-07_23-53-03.560
6,5555,7,לכתוב,6,2026-06-07_23-53-04.590,False,2026-06-07_23-53-11.600,2026-06-07_23-53-13.610,2026-06-07_23-53-13.618,inanimate,2026-06-07_23-53-18.441
7,5555,8,לשיר,7,2026-06-07_23-53-19.830,False,2026-06-07_23-53-26.840,2026-06-07_23-53-28.851,2026-06-07_23-53-28.858,animate,2026-06-07_23-53-29.541
8,5555,9,לבשל,8,2026-06-07_23-53-30.953,False,2026-06-07_23-53-37.963,2026-06-07_23-53-39.973,2026-06-07_23-53-39.980,inanimate,2026-06-07_23-53-40.252
9,5555,10,לטפס,9,2026-06-07_23-53-41.469,False,2026-06-07_23-53-48.479,2026-06-07_23-53-50.489,2026-06-07_23-53-50.496,animate,2026-06-07_23-53-52.341
10,5555,11,להתקשר,10,2026-06-07_23-53-53.656,False,2026-06-07_23-54-00.666,2026-06-07_23-54-02.676,2026-06-07_23-54-02.684,animate,2026-06-07_23-54-05.122
11,5555,12,לשחות,11,2026-06-07_23-54-06.266,False,2026-06-07_23-54-13.276,2026-06-07_23-54-15.286,2026-06-07_23-54-15.294,animate,2026-06-07_23-54-15.681
