,subject,trial,verb,trial_index,cue_verb_appear,recalled,recall_key_time,cue_verb_disappear,colors_question_appear,colors_answer,colors_answer_time
0,6666,1,לשיר,0,2026-06-08_00-27-24.417,True,2026-06-08_00-27-26.468,2026-06-08_00-27-28.478,2026-06-08_00-27-28.484,green,2026-06-08_00-27-29.895
1,6666,2,לאכול,1,2026-06-08_00-27-31.413,False,2026-06-08_00-27-38.430,2026-06-08_00-27-40.440,2026-06-08_00-27-40.446,red,2026-06-08_00-27-40.756
2,6666,3,להתקשר,2,2026-06-08_00-27-41.467,False,2026-06-08_00-27-48.488,2026-06-08_00-27-50.498,2026-06-08_00-27-50.504,green,2026-06-08_00-27-51.780
3,6666,4,לנסוע,3,2026-06-08_00-27-52.455,False,2026-06-08_00-27-59.478,2026-06-08_00-28-01.489,2026-06-08_00-28-01.496,green,2026-06-08_00-28-02.895
4,6666,5,לקרוא,4,2026-06-08_00-28-03.486,False,2026-06-08_00-28-10.509,2026-06-08_00-28-12.519,2026-06-08_00-28-12.525,green,2026-06-08_00-28-13.335
5,6666,6,לבשל,5,2026-06-08_00-28-14.789,False,2026-06-08_00-28-21.807,2026-06-08_00-28-23.817,2026-06-08_00-28-23.824,green,2026-06-08_00-28-25.081
6,6666,7,לטפס,6,2026-06-08_00-28-25.891,False,2026-06-08_00-28-32.905,2026-06-08_00-28-34.915,2026-06-08_00-28-34.922,green,2026-06-08_00-28-36.001
7,6666,8,לשתות,7,2026-06-08_00-28-36.604,False,2026-06-08_00-28-43.616,2026-06-08_00-28-45.626,2026-06-08_00-28-45.632,red,2026-06-08_00-28-48.121
8,6666,9,לקפוץ,8,2026-06-08_00-28-49.036,False,2026-06-08_00-28-56.047,2026-06-08_00-28-58.057,2026-06-08_00-28-58.063,yellow,2026-06-08_00-29-01.862
9,6666,10,לכתוב,9,2026-06-08_00-29-03.334,False,2026-06-08_00-29-10.346,2026-06-08_00-29-12.355,2026-06-08_00-29-12.361,red,2026-06-08_00-29-14.745
